No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
1121,courage,"sự can đảm, sự dũng cảm",/ˈkʌrɪdʒ/,"the ability to do something dangerous, or to face pain or opposition, without showing fear",He showed great courage and determination.,noun,B2
1122,course,"giáo trình, khóa học, đợt",/kɔːrs/,a series of lessons or lectures on a particular subject,I am taking a course on computer programming at the local community college.,noun,A1
1123,court,tòa án,/kɔːt/,"the place where legal trials take place and where crimes, etc. are judged",The judge entered the court room and took her seat on the bench.,noun,B1
1124,cousin,anh em họ,/ˈkʌzn/,a child of your aunt or uncle,She's my cousin.,noun,A1
1125,cover,"che, phủ, đậy",/ˈkʌvər/,"to place something over or in front of something in order to hide, protect or decorate it",Can you please cover the pot with a lid while the soup simmers?,verb,B2
1126,coverage,"sự tường thuật, sự đưa tin",/ˈkʌvərɪdʒ/,the reporting of news and sport in the media,The news station provided live coverage of the election results all night.,noun,B2
1127,crack,"nứt nẻ, rạn nứt, vỡ, gãy",/kræk/,to break without dividing into separate parts; to break something in this way,The ice cracked as I stepped onto it.,verb,B2
1128,craft,"nghề thủ công, nghề",/kræft/,an activity involving a special skill at making things with your hands,My daughter and I love to do arts and crafts together on the weekends.,noun,B2
1129,crash,"đâm vào, va chạm",/kræʃ/,"to hit something, often making a loud noise or causing damage",A dog came crashing through the bushes.,verb,B2
1130,crazy,(khẩu ngữ) điên; điên dại,/ˈkreɪzi/,having a mental illness that makes somebody unable to think or behave normally,I'd go crazy if I lived here.,adjective,A2
1131,cream,kem (lấy từ sữa),/kriːm/,"the thick white or pale yellow fatty liquid that rises to the top of milk, used in cooking or as a type of sauce to put on fruit, etc.",We had strawberries and cream for dessert.,noun,A1
1132,create,"tạo ra, sáng tạo",/kriˈeɪt/,to make something happen or exist,Scientists disagree about how the universe was created.,verb,A1
1133,creation,"sự tạo ra, sự sáng tạo",/kriˈeɪʃn/,"the act or process of making something that is new, or of causing something to exist that did not exist before",The artist's newest creation is a stunning sculpture made of recycled materials.,noun,B2
1134,creative,sáng tạo,/kriˈeɪtɪv/,involving the use of skill and the imagination to produce something new or a work of art,The marketing team came up with a creative new campaign to promote the product.,adjective,A2
1135,creature,"sinh vật, loài vật",/ˈkriːtʃə(r)/,"a living thing, real or imaginary, that can move around, such as an animal",The children were delighted to discover a small creature hiding in the bushes.,noun,B2
1136,credit,"tiền gửi ngân hàng, tín dụng",/ˈkredɪt/,money in your bank account,I need to check my credit score before applying for a loan.,noun,B2
1137,crew,"phi đội; thủy thủ đoàn, đoàn",/kruː/,"all the people working on a ship, plane, etc.",The film crew is setting up the lights and camera for the next scene.,noun,B2
1138,crime,"tội ác, tội",/kraɪm/,activities that involve breaking the law,This month's figures show an increase in violent crime.,noun,A2
1139,criminal,"kẻ phạm tội, tội phạm",/ˈkrɪmɪnl/,a person who commits a crime,The police are searching for the criminal who robbed the bank yesterday.,noun,A2
1140,crisis,sự khủng hoảng; cơn khủng hoảng,/ˈkraɪsɪs/,"a time of great danger, difficulty or doubt when problems must be solved or important decisions must be made",The current economic crisis is causing a lot of hardship for people all over the world.,noun,B2
1141,criteria,"tiêu chuẩn, tiêu chí",/kraɪˈtɪriə/,"a standard or principle by which something is judged, or with the help of which a decision is made","Your application will be evaluated based on several criteria, including your education and work experience.",noun,B2
1142,critic,"người chỉ trích, nhà phê bình",/ˈkrɪtɪk/,"a person who expresses dislike of somebody/something and talks about their bad qualities, especially publicly","The film received mixed reviews from the critics, with some praising the acting and others criticizing the plot.",noun,B2
1143,critical,"phê bình, phê phán, mang tính chỉ trích",/ˈkrɪtɪkl/,saying what you think is bad about somebody/something,You should just ignore any critical comments.,adjective,B2
1144,criticism,"sự phê bình, sự phê phán, sự chỉ trích; sự bình phẩm",/ˈkrɪtɪsɪzəm/,the act of expressing disapproval of somebody/something and opinions about their faults or bad qualities; a statement showing this disapproval,"Although he faced harsh criticism for his performance, he continued to work hard and improve his skills.",noun,B2
1145,criticize,"phê bình, phê phán, bình phẩm, chỉ trích",/ˈkrɪtɪsaɪz/,to say that you think somebody/something is bad; to say what you do not like or think is wrong about somebody/something,It's not polite to criticize someone without first understanding their perspective.,verb,B2
1146,crop,"vụ, mùa; thu hoạch của một vụ",/krɒp/,"(the total amount collected of) a plant such as a grain, fruit, or vegetable grown in large amounts",The farmers are expecting a bountiful crop this year due to the favorable weather conditions.,noun,B2
1147,cross,"dấu chéo, dấu chữ thập",/krɒs/,a mark or an object formed by two lines crossing each other (X or +); the mark (X) is often used on paper to show something,I've put a cross on the map to show where the hotel is.,noun,A2
1148,crowd,"đám đông, đám người",/kraʊd/,"a large number of people gathered together in a public place, for example in the streets or at a sports game",He pushed his way through the crowd.,noun,A2
1149,crucial,"quan trọng, chủ yếu",/ˈkruːʃl/,"extremely important, because it will affect other things",The next few weeks are going to be crucial.,adjective,B2
1150,cultural,(thuộc) văn hóa,/ˈkʌltʃərəl/,"connected with the culture of a particular society or group, its customs, beliefs, etc.",Teachers need to be aware of cultural differences.,adjective,B1
1151,culture,văn hóa,/ˈkʌltʃər/,"the customs and beliefs, art, way of life and social organization of a particular country or group",Traveling to different countries is a great way to experience new cultures and broaden your perspective.,noun,A1
1152,curious,"ham hiểu biết; tò mò, hiếu kỳ",/ˈkjʊəriəs/,having a strong desire to know about something,"He is such a curious boy, always asking questions.",adjective,B2
1153,current,"hiện hành, đang lưu hành, hiện tại",/ˈkʌrənt/,happening now; of the present time,The necklace would be worth over $5 000 at current prices.,adjective,B1
1154,currently,"hiện thời, hiện nay",/ˈkʌrəntli/,at the present time,The hourly charge is currently £35.,adverb,B1
1155,curriculum,chương trình giảng dạy,/kəˈrɪkjələm/,"the subjects that are included in a course of study or taught in a school, college, etc.",The school curriculum should be as broad as possible.,noun,B2
1156,custom,"phong tục, tục lệ",/ˈkʌstəm/,an accepted way of behaving or of doing things in a society or a community,It's a local custom.,noun,B1
1157,customer,khách hàng,/ˈkʌstəmə(r)/,a person or an organization that buys goods or services from a shop or business,The customer was pleased with the excellent service provided by the store staff.,noun,A1
1158,cycle,xe đạp,/ˈsaɪkl/,a bicycle or motorcycle,A thousand people took part in the region's biggest-ever cycle race.,noun,A2
1159,daily,hàng ngày,/ˈdeɪli/,"happening, done or produced every day",Many people still read a daily newspaper.,adjective,A2
1160,damage,sự thiệt hại; sự hư hại,/ˈdæmɪdʒ/,"physical harm caused to something which makes it less attractive, useful or valuable",The heavy rainfall caused extensive damage to the crops and infrastructure in the region.,noun,B1
1161,danger,sự nguy hiểm; mối nguy hiểm,/ˈdeɪndʒə(r)/,"the possibility of something happening that will injure, harm or kill somebody, or damage or destroy something",It's important to be aware of the potential danger when hiking in the wilderness.,noun,A2
1162,dangerous,nguy hiểm,/ˈdeɪndʒərəs/,"likely to injure or harm somebody, or to damage or destroy something",The situation is extremely dangerous.,adjective,A1
1163,dare,dám,/der/,to be brave enough to do something,I wouldn't dare go by myself.,verb,B2
1164,dark,"tối, tối tăm, mù mịt, u ám",/dɑːk/,"with no or very little light, especially because it is night",I can't see anything in this dark room.,adjective,A1
1165,darkness,"bóng tối, sự tăm tối",/ˈdɑːknəs/,"the state of being dark, without any light",After a few minutes our eyes got used to the darkness.,noun,B2
1166,deal,thỏa thuận,/diːl/,"an agreement or arrangement between two or more parties, usually involving the exchange of goods, services, or money",I was able to get a great deal on my new car.,noun,B2
1167,dealer,người chia bài,/ˈdiːlə(r)/,the person who gives out the cards in a card game,He's a dealer.,noun,C1
1168,dear,"thân mến, thân yêu, yêu quý, ",/dɪə(r)/,used at the beginning of a letter before the name or title of the person that you are writing to,"My dear friend, I have missed you so much since you moved away.",adjective,A1
